scenario,month,active_pib,token_price_usd,storage_price_usd_per_gibmonth,issuance_monthly_nil,bps,cost_usd_per_gibmonth
Slow (10 PiB cap),22,0.6913842034334681,0.007350458130477804,0.007350458130477804,9949.922774357554,137.2462048309373,0.007484417440282632
Slow (10 PiB cap),23,0.7585818002124355,0.007256021023415042,0.007256021023415042,10415.871061454442,130.94630943592955,0.00738368803544098
Slow (10 PiB cap),24,0.8317269649392235,0.007163053317810303,0.007163053317810303,10901.61167485139,125.0,0.007284825224213078
Slow (10 PiB cap),25,0.9112296101485611,0.007071586463841609,0.007071586463841609,11407.391452155827,119.38743126816934,0.0071878344572197765
Slow (10 PiB cap),26,0.9975048911968514,0.0069816516645369335,0.0069816516645369335,11933.340681688387,114.08987181403394,0.007092722671373074
Slow (10 PiB cap),27,1.0909682119561293,0.006893279903430238,0.006893279903430238,12479.452273219427,109.08964152537145,0.006999498206355598
Slow (10 PiB cap),28,1.1920292202211755,0.006806501936532251,0.006806501936532251,13045.559712895541,104.37005259840997,0.00690817069175935
Slow (10 PiB cap),29,1.3010847436299784,0.006721348245458816,0.006721348245458816,13631.31420278558,99.91535384383408,0.006818750901388645
Slow (10 PiB cap),30,1.4185106490048778,0.006637848948764319,0.006637848948764319,14236.161528015346,95.71067811865476,0.006731250571447301
Slow (10 PiB cap),31,1.5446526508353469,0.006556033668926999,0.006556033668926999,14859.319349619378,91.74199270850171,0.00664568217974231
Slow (10 PiB cap),32,1.6798161486607552,0.00647593135306288,0.00647593135306288,15499.755782046474,87.99605249474365,0.00656205868368131
Slow (10 PiB cap),33,1.8242552380635635,0.006397570046336332,0.006397570046336332,16156.170270633904,84.46035575013605,0.006480393215749843
Slow (10 PiB cap),34,1.9781611144141822,0.006320976618209941,0.006320976618209941,16826.977922991446,81.12310241546864,0.006400698736348368
Slow (10 PiB cap),35,2.141650169574414,0.00624617644314085,0.00624617644314085,17510.29855278662,77.97315471796477,0.006322987645354657
Slow (10 PiB cap),36,2.314752165009823,0.0061731930390717706,0.0061731930390717706,18203.95174633005,75.0,0.006247271355540632
Slow (10 PiB cap),37,2.4973989440488236,0.0061020476690427615,0.0061020476690427615,18905.45924220116,72.19371563408467,0.006173559832973905
Slow (10 PiB cap),38,2.6894142136999513,0.006032758913394843,0.006032758913394843,19612.0558037037,69.54493590701696,0.0061018611117025735
Slow (10 PiB cap),39,2.89050497374996,0.005965342222246196,0.005965342222246196,20320.70954883143,67.04482076268573,0.0060321807922541605
Slow (10 PiB cap),40,3.1002551887238754,0.005899809460062298,0.005899809460062298,21028.152375178757,64.68502629920499,0.005964521535641021
Slow (10 PiB cap),41,3.318122278318339,0.005836168456052751,0.005836168456052751,21730.9206802986,62.45767692191704,0.005898882566493991
Slow (10 PiB cap),42,3.543436937742045,0.005774422575633621,0.005774422575633621,22425.406046235876,60.35533905932738,0.005835259200466392
Slow (10 PiB cap),43,3.7754066879814543,0.005714570329117548,0.005714570329117548,23107.91495889503,58.370996354250856,0.00577364241198328
Slow (10 PiB cap),44,4.0131233988754795,0.005656605033974854,0.005656605033974854,23774.73601029893,56.498026247371826,0.005714018458595793
Slow (10 PiB cap),45,4.25557483188341,0.0056005145463260495,0.0056005145463260495,24422.21243697901,54.73017787506802,0.00565636857751575
Slow (10 PiB cap),46,4.501660026875221,0.00554628107571645,0.00554628107571645,25046.817338645567,53.06155120773432,0.0056006687682883345
Slow (10 PiB cap),47,4.7502081252106,0.005493881094698484,0.005493881094698484,25645.228554706984,51.48657735898239,0.005546889673022952
