  PID  %CPU COMM
24351   0.0 /usr/libexec/secinitd
24208   0.0 /System/Library/PrivateFrameworks/CoreADI.framework/adid
24207   0.0 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
24205   0.0 /System/Library/PrivateFrameworks/HearingCore.framework/heard
24203   0.0 /usr/libexec/securityd_system
24202   0.0 /usr/libexec/knowledge-agent
24201   0.0 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
24197   0.0 /System/Library/PrivateFrameworks/Synapse.framework/Support/contentlinkingd
24198   0.0 /usr/libexec/swcd
24194   0.0 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
24189   0.0 /usr/libexec/biometrickitd
24188   0.0 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.77/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer)
24127   0.0 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
24100   0.0 /System/Library/CoreServices/UniversalControl.app/Contents/MacOS/UniversalControl
24069   0.0 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.77/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer)
24060   0.0 /System/Library/PrivateFrameworks/iCloudDriveService.framework/XPCServices/TelemetryDiskChecker.xpc/Contents/MacOS/TelemetryDiskChecker
24036   0.0 /System/Library/PrivateFrameworks/GeoServices.framework/geodMachServiceBridge
24037   0.0 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/installd
23689   0.0 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.77/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer)
23279   0.0 /usr/libexec/triald
23278   0.0 /usr/libexec/AssetCache/AssetCache
23277   0.0 /System/Library/CoreServices/TimeMachine/backupd-helper
23271   0.0 /usr/libexec/triald_system
23269   0.0 /usr/libexec/pkd
23268   0.0 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
23200   0.0 /usr/libexec/mobileassetd
21179   0.0 /usr/libexec/replayd
20215   0.0 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.77/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer)
20188   0.0 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.77/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer)
19503   0.0 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.77/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer)
19498   0.0 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.77/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer)
19491   0.0 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.77/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer)
19472   0.0 /Users/michaelseiler/.npm/_npx/ed3c98cb1adfc51b/node_modules/@openai/codex-darwin-arm64/vendor/aarch64-apple-darwin/bin/codex-code-mode-host
17818   0.0 /Applications/ChatGPT.app/Contents/Resources/cua_node/bin/node_repl
17739   0.0 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.77/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer)
17693   0.0 node
17668   0.0 npm exec @openai/codex@alpha --dangerously-bypass-approvals-and-sandbox resume ***
